customer_id,order_date,status,total,region,account_tier,sales_rep,channel,notes
CUST-0001,2026-05-01,paid,128.40,West,Gold,Ana,web,baseline match
CUST-0002,2026-05-01,paid,132.90,South,Standard,Ben,store,status changed
CUST-0003,2026-05-01,paid,61.20,East,Gold,Ana,web,total changed
CUST-0004,2026-05-02,cancelled,0.00,West,Standard,Chen,phone,matched cancel
CUST-0005,2026-05-02,pending,240.00,North,Gold,Ben,web,status and total changed
CUST-0006,2026-05-02,paid,75.00,South,Standard,Dee,store,match
CUST-0007,2026-05-03,pending,199.99,East,Gold,Ana,web,region changed
CUST-0008,2026-05-03,paid,305.10,West,Gold,Chen,partner,total changed
CUST-0009,2026-05-03,cancelled,15.00,South,Standard,Dee,store,match
CUST-0011,2026-05-04,cancelled,20.00,West,Standard,Ana,phone,status changed
CUST-0012,2026-05-04,paid,600.00,North,Gold,Chen,partner,total changed
CUST-0013,2026-05-05,paid,110.00,South,Standard,Dee,web,extra compare row
